"scenario"	"n"	"combos"	"SND"	"SFD"	"feasibility"
1	3	"ARRELA_DAUCAR_POAPRA"	NA	NA	NA
1	3	"ARRELA_DAUCAR_POAANG"	0	150.022505619583	NA
1	3	"ARRELA_DAUCAR_SALPRA"	0	149.375696184445	NA
1	3	"ARRELA_DAUCAR_CENJAC"	0.0069389280994552	141.978126024202	0
1	3	"ARRELA_DAUCAR_FESARU"	NA	NA	NA
1	3	"ARRELA_DAUCAR_RUMACE"	NA	NA	NA
1	3	"ARRELA_DAUCAR_ERYNGE"	NA	NA	NA
1	3	"ARRELA_DAUCAR_ACHMIL"	0	150.838862342581	NA
1	3	"ARRELA_DAUCAR_MEDARA"	0.000514896307769773	141.140275387856	0
1	3	"ARRELA_DAUCAR_FESRUB"	0.0317280518804787	161.780315188931	0
1	3	"ARRELA_DAUCAR_LOTCOR"	0.0656300208771935	154.628029911132	0
1	3	"ARRELA_DAUCAR_CREPIS"	NA	NA	NA
1	3	"ARRELA_DAUCAR_ONOREP"	0.174516236743404	123.980793517411	0
1	3	"ARRELA_DAUCAR_POATRI"	0.00635795794940291	148.881660793594	0
1	3	"ARRELA_DAUCAR_PICECH"	0.00178501392762093	149.435517531842	0
1	3	"ARRELA_DAUCAR_GERDIS"	4	148.105748314672	NA
1	3	"ARRELA_DAUCAR_TRIFLA"	0.00284764635145091	149.622496082505	0
1	3	"ARRELA_DAUCAR_VERPER"	0.0999436027220996	158.631172064757	0
1	3	"ARRELA_DAUCAR_ANTODO"	1.66301276352808	89.1519749117843	1
1	3	"ARRELA_GALVER_PLALAN"	0.0970052840651615	137.764683696739	0
1	3	"ARRELA_GALVER_TRIPRA"	0.0459750238998567	158.094348382298	0
1	3	"ARRELA_GALVER_LEUVUL"	0	150.692489895537	NA
1	3	"ARRELA_GALVER_TAROFF"	NA	NA	NA
1	3	"ARRELA_GALVER_RANACR"	NA	NA	NA
1	3	"ARRELA_GALVER_POAPRA"	0	132.558264212974	NA
1	3	"ARRELA_GALVER_POAANG"	NA	NA	NA
1	3	"ARRELA_GALVER_SALPRA"	0	153.06982456323	NA
1	3	"ARRELA_GALVER_CENJAC"	0	155.334805281147	NA
1	3	"ARRELA_GALVER_FESARU"	NA	NA	NA
1	3	"ARRELA_GALVER_RUMACE"	0	152.893231223237	NA
1	3	"ARRELA_GALVER_ERYNGE"	NA	NA	NA
1	3	"ARRELA_GALVER_ACHMIL"	0	145.516419254983	NA
1	3	"ARRELA_GALVER_MEDARA"	0.0246787384138405	142.212809534608	0
1	3	"ARRELA_GALVER_FESRUB"	0.0848586426879045	153.353758733373	0
1	3	"ARRELA_GALVER_LOTCOR"	0.0488895033237916	145.934022556259	0
1	3	"ARRELA_GALVER_CREPIS"	0.00225080311051735	134.252895323011	0
1	3	"ARRELA_GALVER_ONOREP"	0.067763573890595	130.486821662293	0
1	3	"ARRELA_GALVER_POATRI"	0.01779670593726	149.477582832214	0
1	3	"ARRELA_GALVER_PICECH"	0.00763527678143117	137.992327941096	0
1	3	"ARRELA_GALVER_GERDIS"	4	158.988103409532	NA
1	3	"ARRELA_GALVER_TRIFLA"	NA	NA	NA
1	3	"ARRELA_GALVER_VERPER"	0.0947917610794529	152.172048778493	0
1	3	"ARRELA_GALVER_ANTODO"	1.17435985805238	156.019354252856	0
1	3	"ARRELA_PLALAN_TRIPRA"	0.0516600118022066	139.016317421047	0
1	3	"ARRELA_PLALAN_LEUVUL"	0	138.940370677455	NA
1	3	"ARRELA_PLALAN_TAROFF"	NA	NA	NA
1	3	"ARRELA_PLALAN_RANACR"	0	142.07221874634	NA
1	3	"ARRELA_PLALAN_POAPRA"	NA	NA	NA
1	3	"ARRELA_PLALAN_POAANG"	NA	NA	NA
1	3	"ARRELA_PLALAN_SALPRA"	NA	NA	NA
1	3	"ARRELA_PLALAN_CENJAC"	NA	NA	NA
1	3	"ARRELA_PLALAN_FESARU"	0.236418176441762	123.896263758717	0
1	3	"ARRELA_PLALAN_RUMACE"	0.000129335744288058	141.122894406231	0
1	3	"ARRELA_PLALAN_ERYNGE"	0	146.986383677439	NA
1	3	"ARRELA_PLALAN_ACHMIL"	0	141.113386269638	NA
1	3	"ARRELA_PLALAN_MEDARA"	0.00165866062072933	129.383691514431	0
1	3	"ARRELA_PLALAN_FESRUB"	0.117117242449988	143.218845208957	0
