"scenario"	"n"	"combos"	"SND"	"SFD"	"feasibility"	"cv"	"dominance"	"SKR"	"skewness"	"kurtosis"	"PNR"
1	3	"PLALAN_ACHMIL_VERPER"	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"PLALAN_ACHMIL_ANTODO"	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"PLALAN_MEDARA_FESRUB"	0.340743349824682	136.560891738467	0	-4.55879331730321	NA	0.011794048278242	0.0564549590106796	0.270234810109882	-0.511391758402631
1	3	"PLALAN_MEDARA_LOTCOR"	0.927821955567614	120.99108549771	0	3.98381423593122	0.697019555616837	0.331978982975848	-1.23117473577426	4.56592527762244	-0.297031915909201
1	3	"PLALAN_MEDARA_CREPIS"	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"PLALAN_MEDARA_ONOREP"	0.0665515248575124	92.0459747772607	0	2.34861656088545	-1.57870548757745	0.960036453274737	2.77264256944449	8.00755720438854	0.91274993257005
1	3	"PLALAN_MEDARA_POATRI"	0.484990063208091	99.1761552148137	0	-14.4119794490307	NA	0.255488791215648	-1.01933732248855	4.06690474393889	-0.0174828357587532
1	3	"PLALAN_MEDARA_PICECH"	1.61609545520645	60.1024083606654	0	2.52665631782483	-0.757825182814629	0.963991423939289	2.81148870675148	8.1997293252776	1.0071716616778
1	3	"PLALAN_MEDARA_GERDIS"	0	116.779965336624	NA	NA	NA	NA	NA	NA	NA
1	3	"PLALAN_MEDARA_TRIFLA"	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"PLALAN_MEDARA_VERPER"	1.8686693045293	56.3364260290722	1	2.08348236859214	-0.864808465563119	0.958346743853048	2.4145391828694	6.08339257477105	1.07932456996526
1	3	"PLALAN_MEDARA_ANTODO"	1.80604036571273	68.5168202380219	0	2.57314468049977	-1.54452002832785	0.967905263067165	2.80723702841519	8.14189160283396	0.872137332904216
1	3	"PLALAN_FESRUB_LOTCOR"	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"PLALAN_FESRUB_CREPIS"	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"PLALAN_FESRUB_ONOREP"	0.0138828036650276	137.937333023579	0	-2.34668785731735	NA	0.968261640677497	-2.62082502340844	7.09387165076348	-1.38667951514371
1	3	"PLALAN_FESRUB_POATRI"	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"PLALAN_FESRUB_PICECH"	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"PLALAN_FESRUB_GERDIS"	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"PLALAN_FESRUB_TRIFLA"	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"PLALAN_FESRUB_VERPER"	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"PLALAN_FESRUB_ANTODO"	0	150.861346579045	NA	NA	NA	NA	NA	NA	NA
1	3	"PLALAN_LOTCOR_CREPIS"	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	3	"PLALAN_LOTCOR_ONOREP"	1.01686661276176	85.1475653457855	0	7.50450354834101	2.04068454585396	0.996889872066538	-2.982953205803	8.92577011497264	-1.3612201321431
